================================================
  NLOC    CCN   token  PARAM  length  location  
------------------------------------------------
       4      2     36      0       7 test_usuario_usa_email_como_login@8-14@apps/contas\tests\test_models.py
      12      1     53      0      15 test_aluno_campos_obrigatorios@18-32@apps/contas\tests\test_models.py
       4      1     32      0       7 test_aluno_campos_opcionais_nulos_por_padrao@36-42@apps/contas\tests\test_models.py
       4      1     30      0       7 test_aluno_codigo_no_formato_correto@46-52@apps/contas\tests\test_models.py
       4      1     28      0       7 test_aluno_codigo_unico@56-62@apps/contas\tests\test_models.py
       5      1     30      0       8 test_administrador_nasce_pendente@66-73@apps/contas\tests\test_models.py
      13      1     43      3      15 test_superuser_aprova_administrador_pendente@7-21@apps/contas\tests\test_services.py
      15      1     52      3      18 test_aprovacao_nao_altera_admin_ja_aprovado@23-40@apps/contas\tests\test_services.py
       9      1     76      1      15 test_cadastro_valido_cria_usuario_e_aluno@28-42@apps/contas\tests\test_views.py
       4      1     27      1       9 test_cadastro_valido_redireciona@46-54@apps/contas\tests\test_views.py
       7      1     56      1      12 test_email_duplicado_nao_cria_nada_aluno@58-69@apps/contas\tests\test_views.py
       7      3     67      1      12 test_campo_obrigatorio_ausente_nao_cria_nada_aluno@73-84@apps/contas\tests\test_views.py
      12      1     62      1      17 test_get_cadastro_aluno_exibe_formulario_com_campos@91-107@apps/contas\tests\test_views.py
       7      3     61      1      12 test_erro_de_validacao_exibe_mensagem_visivel@111-122@apps/contas\tests\test_views.py
       8      1     64      1      14 test_cadastro_com_dados_validos_cria_usuario_e_administrador@129-142@apps/contas\tests\test_views.py
       4      1     27      1       9 test_cadastro_redireciona_apos_sucesso@146-154@apps/contas\tests\test_views.py
       8      1     66      1      13 test_email_duplicado_nao_cria_nada_administrador@158-170@apps/contas\tests\test_views.py
       8      3     77      1      13 test_campo_obrigatorio_ausente_nao_cria_nada_administrador@174-186@apps/contas\tests\test_views.py
       8      1     46      1      13 test_get_cadastro_administrador_exibe_formulario_com_todos_os_campos@193-205@apps/contas\tests\test_views.py
       7      3     61      1      12 test_erro_de_validacao_exibe_mensagem_visivel_no_cadastro_administrador@209-220@apps/contas\tests\test_views.py
      16      1     67      3      18 test_aluno_faz_login_com_sucesso@224-241@apps/contas\tests\test_views.py
      16      1     70      3      18 test_admin_aprovado_faz_login_com_sucesso@243-260@apps/contas\tests\test_views.py
      14      1     52      3      16 test_admin_pendente_nao_consegue_logar@262-277@apps/contas\tests\test_views.py
      14      1     52      3      16 test_login_com_senha_errada_falha@279-294@apps/contas\tests\test_views.py
      12      1     47      2      15 test_tela_login_renderiza_formulario@298-312@apps/contas\tests\test_views.py
      16      1     60      3      19 test_login_invalido_exibe_mensagem_erro@314-332@apps/contas\tests\test_views.py
      12      1     38      3      13 test_superuser_pode_aprovar@336-348@apps/contas\tests\test_views.py
      16      1     61      3      19 test_admin_comum_nao_pode_aprovar@350-368@apps/contas\tests\test_views.py
      20      1     72      3      24 test_admin_aprovado_passa_a_logar@370-393@apps/contas\tests\test_views.py
      11      1     46      3      14 test_superuser_visualiza_admins_pendentes@398-411@apps/contas\tests\test_views.py
      14      1     49      3      17 test_superuser_aprova_admin_pendente_pela_tela@413-429@apps/contas\tests\test_views.py
       8      1     27      2       9 test_admin_comum_nao_acessa_tela_de_pendentes@431-439@apps/contas\tests\test_views.py
      10      1     40      2      13 test_aluno_logado_acessa_area_aluno@443-455@apps/contas\tests\test_views.py
       9      1     31      2      11 test_usuario_nao_autenticado_nao_acessa_area_aluno@457-467@apps/contas\tests\test_views.py
      10      1     40      2      12 test_aluno_nao_ve_informacoes_administrativas@469-480@apps/contas\tests\test_views.py
      10      1     46      2      13 test_aluno_visualiza_seu_codigo@482-494@apps/contas\tests\test_views.py
